col,d_types
PELL_UNKN_ORIG_YR2_RT,float64
PELL_UNKN_4YR_TRANS_YR2_RT,float64
PELL_UNKN_2YR_TRANS_YR2_RT,float64
NOPELL_DEATH_YR2_RT,float64
NOPELL_COMP_ORIG_YR2_RT,float64
NOPELL_COMP_4YR_TRANS_YR2_RT,float64
NOPELL_COMP_2YR_TRANS_YR2_RT,float64
NOPELL_WDRAW_ORIG_YR2_RT,float64
NOPELL_WDRAW_4YR_TRANS_YR2_RT,float64
NOPELL_WDRAW_2YR_TRANS_YR2_RT,float64
NOPELL_ENRL_ORIG_YR2_RT,float64
NOPELL_ENRL_4YR_TRANS_YR2_RT,float64
NOPELL_ENRL_2YR_TRANS_YR2_RT,float64
NOPELL_UNKN_ORIG_YR2_RT,float64
NOPELL_UNKN_4YR_TRANS_YR2_RT,float64
NOPELL_UNKN_2YR_TRANS_YR2_RT,float64
LOAN_DEATH_YR2_RT,float64
LOAN_COMP_ORIG_YR2_RT,float64
LOAN_COMP_4YR_TRANS_YR2_RT,float64
LOAN_COMP_2YR_TRANS_YR2_RT,float64
LOAN_WDRAW_ORIG_YR2_RT,float64
LOAN_WDRAW_4YR_TRANS_YR2_RT,float64
LOAN_WDRAW_2YR_TRANS_YR2_RT,float64
LOAN_ENRL_ORIG_YR2_RT,float64
LOAN_ENRL_4YR_TRANS_YR2_RT,float64
LOAN_ENRL_2YR_TRANS_YR2_RT,float64
LOAN_UNKN_ORIG_YR2_RT,float64
LOAN_UNKN_4YR_TRANS_YR2_RT,float64
LOAN_UNKN_2YR_TRANS_YR2_RT,float64
NOLOAN_DEATH_YR2_RT,float64
NOLOAN_COMP_ORIG_YR2_RT,float64
NOLOAN_COMP_4YR_TRANS_YR2_RT,float64
NOLOAN_COMP_2YR_TRANS_YR2_RT,float64
NOLOAN_WDRAW_ORIG_YR2_RT,float64
NOLOAN_WDRAW_4YR_TRANS_YR2_RT,float64
NOLOAN_WDRAW_2YR_TRANS_YR2_RT,float64
NOLOAN_ENRL_ORIG_YR2_RT,float64
NOLOAN_ENRL_4YR_TRANS_YR2_RT,float64
NOLOAN_ENRL_2YR_TRANS_YR2_RT,float64
NOLOAN_UNKN_ORIG_YR2_RT,float64
NOLOAN_UNKN_4YR_TRANS_YR2_RT,float64
NOLOAN_UNKN_2YR_TRANS_YR2_RT,float64
FIRSTGEN_DEATH_YR2_RT,float64
FIRSTGEN_COMP_ORIG_YR2_RT,float64
FIRSTGEN_COMP_4YR_TRANS_YR2_RT,float64
FIRSTGEN_COMP_2YR_TRANS_YR2_RT,float64
FIRSTGEN_WDRAW_ORIG_YR2_RT,float64
FIRSTGEN_WDRAW_4YR_TRANS_YR2_RT,float64
FIRSTGEN_WDRAW_2YR_TRANS_YR2_RT,float64
FIRSTGEN_ENRL_ORIG_YR2_RT,float64
FIRSTGEN_ENRL_4YR_TRANS_YR2_RT,float64
FIRSTGEN_ENRL_2YR_TRANS_YR2_RT,float64
FIRSTGEN_UNKN_ORIG_YR2_RT,float64
FIRSTGEN_UNKN_4YR_TRANS_YR2_RT,float64
FIRSTGEN_UNKN_2YR_TRANS_YR2_RT,float64
NOT1STGEN_DEATH_YR2_RT,float64
NOT1STGEN_COMP_ORIG_YR2_RT,float64
NOT1STGEN_COMP_4YR_TRANS_YR2_RT,float64
NOT1STGEN_COMP_2YR_TRANS_YR2_RT,float64
NOT1STGEN_WDRAW_ORIG_YR2_RT,float64
NOT1STGEN_WDRAW_4YR_TRANS_YR2_RT,float64
NOT1STGEN_WDRAW_2YR_TRANS_YR2_RT,float64
NOT1STGEN_ENRL_ORIG_YR2_RT,float64
NOT1STGEN_ENRL_4YR_TRANS_YR2_RT,float64
NOT1STGEN_ENRL_2YR_TRANS_YR2_RT,float64
NOT1STGEN_UNKN_ORIG_YR2_RT,float64
NOT1STGEN_UNKN_4YR_TRANS_YR2_RT,float64
NOT1STGEN_UNKN_2YR_TRANS_YR2_RT,float64
DEATH_YR3_RT,float64
COMP_ORIG_YR3_RT,float64
COMP_4YR_TRANS_YR3_RT,float64
COMP_2YR_TRANS_YR3_RT,float64
WDRAW_ORIG_YR3_RT,float64
WDRAW_4YR_TRANS_YR3_RT,float64
WDRAW_2YR_TRANS_YR3_RT,float64
ENRL_ORIG_YR3_RT,float64
ENRL_4YR_TRANS_YR3_RT,float64
ENRL_2YR_TRANS_YR3_RT,float64
UNKN_ORIG_YR3_RT,float64
UNKN_4YR_TRANS_YR3_RT,float64
UNKN_2YR_TRANS_YR3_RT,float64
LO_INC_DEATH_YR3_RT,float64
LO_INC_COMP_ORIG_YR3_RT,float64
LO_INC_COMP_4YR_TRANS_YR3_RT,float64
LO_INC_COMP_2YR_TRANS_YR3_RT,float64
LO_INC_WDRAW_ORIG_YR3_RT,float64
LO_INC_WDRAW_4YR_TRANS_YR3_RT,float64
LO_INC_WDRAW_2YR_TRANS_YR3_RT,float64
LO_INC_ENRL_ORIG_YR3_RT,float64
LO_INC_ENRL_4YR_TRANS_YR3_RT,float64
LO_INC_ENRL_2YR_TRANS_YR3_RT,float64
LO_INC_UNKN_ORIG_YR3_RT,float64
LO_INC_UNKN_4YR_TRANS_YR3_RT,float64
LO_INC_UNKN_2YR_TRANS_YR3_RT,float64
MD_INC_DEATH_YR3_RT,float64
MD_INC_COMP_ORIG_YR3_RT,float64
MD_INC_COMP_4YR_TRANS_YR3_RT,float64
MD_INC_COMP_2YR_TRANS_YR3_RT,float64
MD_INC_WDRAW_ORIG_YR3_RT,float64
MD_INC_WDRAW_4YR_TRANS_YR3_RT,float64
MD_INC_WDRAW_2YR_TRANS_YR3_RT,float64
MD_INC_ENRL_ORIG_YR3_RT,float64
MD_INC_ENRL_4YR_TRANS_YR3_RT,float64
MD_INC_ENRL_2YR_TRANS_YR3_RT,float64
MD_INC_UNKN_ORIG_YR3_RT,float64
MD_INC_UNKN_4YR_TRANS_YR3_RT,float64
MD_INC_UNKN_2YR_TRANS_YR3_RT,float64
HI_INC_DEATH_YR3_RT,float64
HI_INC_COMP_ORIG_YR3_RT,float64
HI_INC_COMP_4YR_TRANS_YR3_RT,float64
HI_INC_COMP_2YR_TRANS_YR3_RT,float64
HI_INC_WDRAW_ORIG_YR3_RT,float64
HI_INC_WDRAW_4YR_TRANS_YR3_RT,float64
HI_INC_WDRAW_2YR_TRANS_YR3_RT,float64
HI_INC_ENRL_ORIG_YR3_RT,float64
